address,bathrooms,bedrooms,finishedsqft,lastsoldprice,neighborhood,totalrooms
Address: 188 Minna Street #38C,2.5,2,1670,7500000,Yerba Buena,5
Address: 1200 Gough Street #22B,1,0,550,650000,Van Ness - Civic Center,2
Address: 979 Guerrero Street,2,3,1440,1275000,Mission,7
Address: 1940 Buchanan Street,1,3,1480,1250000,Lower Pacific Heights,5
Address: 2275 47th Avenue,2.5,4,2193,1225000,Outer Parkside,7
Address: 988 Fulton Street #326,1,1,417,555000,Western Addition,5
Address: 487 19th Avenue,4,4,2596,1900000,Central Richmond,9
Address: 448 Gold Mine Drive,3,4,2200,1558000,Diamond Heights,7
Address: 8200 Oceanview Terrace #310,2,2,969,658000,Ingleside Heights,4
Address: 750 Delano Avenue,1,2,840,738000,Outer Mission,4
Address: 5 Lobos Street,2,4,1726,950000,Oceanview,7
Address: 4524 Balboa Street,1,2,1200,961000,Outer Richmond,5
Address: 527 Randolph Street,1,2,950,695500,Ingleside Heights,4
Address: 1407 Montgomery Street #2,1,1,1000,976000,Telegraph Hill,3
Address: 574 Natoma Street #102,1,0,376,502000,South of Market,1
Address: 65 Bishop Street,1,3,800,675000,Visitacion Valley,4
Address: 701 Pennsylvania Avenue,2,1,842,640000,Potrero Hill,2
Address: 88 King Street #1121,2,2,1111,1650000,South Beach,4
Address: 57 Moneta Way,1,4,1325,860000,Outer Mission,6
Address: 164 Seville Street,3,3,2234,1125000,Crocker Amazon,3
Address: 145 Alpine Terrace,5.5,6,4749,5100000,Buena Vista Park,10
Address: 3023 Broderick Street,2.5,3,1591,1800000,Cow Hollow,9
Address: 4173 Cesar Chavez Street,4,4,3480,4500000,Noe Valley,8
Address: 830 Alabama Street #B,2,3,1853,1370000,Mission,9
Address: 95 Stoneyford Avenue,2,3,1400,910000,Excelsior,6
Address: 518 Oak Street,1,2,1105,1475000,Hayes Valley,6
Address: 1160 Mission Street #1908,2,2,1201,1475000,South of Market,4
Address: 451 Kansas Street #461,1,0,450,640000,Potrero Hill,2
Address: 2002 Pacific Avenue #4,3.5,3,3291,4200000,Pacific Heights,7
Address: 554 Anderson Street,1,2,1015,920000,Bernal Heights,5
Address: 566 South Van Ness Avenue #9,2,2,941,945000,Mission,5
Address: 624 Hampshire Street,1,2,962,1250000,Mission,5
Address: 40 Mirabel Avenue,2,2,1393,1530000,Bernal Heights,6
Address: 712 Dorado Terrace #53,2.5,2,1332,780000,Mount Davidson Manor,4
Address: 264 Grand View Avenue,1,1,590,1193000,Twin Peaks,5
Address: 4450 24th Street,3,4,2500,1400000,Noe Valley,5
Address: 584 Sanchez Street,4,4,2610,2210000,Eureka Valley - Dolores Heights - Castro,13
Address: 300 Castro Street,3,4,2451,2400000,Corona Heights,12
Address: 2319 39th Avenue,2,4,1362,890000,Outer Parkside,6
Address: 27 Cutler Avenue,3,4,1622,1325000,Outer Parkside,9
Address: 1535 Oak Street #2,1,1,765,815000,Haight-Ashbury,12
Address: 558 17th Avenue,3,5,1990,1240000,Central Richmond,8
Address: 1722 31st Avenue,2,4,1824,1700000,Central Sunset,6
Address: 17 San Andreas Way,4.5,5,4095,3750000,St. Francis Wood,9
Address: 319 Arleta Avenue,3,5,1875,417000,Visitacion Valley,7
Address: 4390 26th Street,3,5,2837,2600000,Noe Valley,9
Address: 250 King Street #1008,1,1,787,825000,South of Market,3
Address: 724 Noe Street,2,3,1577,1680000,Eureka Valley - Dolores Heights - Castro,6
Address: 855 La Playa Street #162,1,1,805,578000,Outer Richmond,4
Address: 855 La Playa Street #360,2,2,1193,750000,Outer Richmond,4
Address: 4220 Irving Street,2,3,1675,1150000,Outer Sunset,7
Address: 1423 Oakdale Avenue,2,3,1125,638000,Bayview,4
Address: 15 Bishop Street,3,4,2200,851000,Visitacion Valley,8
Address: 9 Edgar Place,4,4,1800,1175000,Ingleside,8
Address: 1949 McAllister Street,3,2,2160,1505000,North Panhandle,7
Address: 10 Miller Place #701,2,2,1000,1290000,Nob Hill,4
Address: 766 40th Avenue,1,2,1034,1000000,Outer Richmond,5
Address: 22 Magnolia Street,1,2,1231,1375000,Marina,5
Address: 170 King Street #928,2,2,1092,1262500,South Beach,4
Address: 29 Cumberland Street,1,3,1525,1300000,Mission,6
Address: 101 Lombard Street #610W,1,1,1030,876500,Telegraph Hill,4
Address: 89 Theresa Street,1,2,1088,875000,Mission Terrace,5
Address: 2200 Sacramento Street #901,2,1,952,1125000,Pacific Heights,4
Address: 2299 Sacramento Street #3,1,2,1406,1150000,Pacific Heights,5
Address: 2133 Pine Street,7,9,5085,1550000,Lower Pacific Heights,15
Address: 2670 47th Avenue,3,4,1546,1075000,Outer Parkside,7
Address: 107 19th Avenue,2,2,1125,1150000,Lake,4
Address: 1501 Greenwich Street #304,2,2,958,1150000,Cow Hollow,4
Address: 1738 Lombard Street #T4,2,2,1078,1400000,Marina,4
Address: 3725 Webster Street,2,3,1717,1963000,Marina,13
Address: 3027 Webster Street,3.5,3,2002,2350000,Cow Hollow,9
Address: 1546 McKinnon Avenue,2,4,1175,720000,Bayview,5
Address: 478 Los Palmos Drive,1,3,1450,1200000,Westwood Highlands,6
Address: 367 Vernon Street,3,4,2100,1300000,Merced Heights,7
Address: 115 Colby Street,3,3,1753,950000,Portola,7
Address: 138 Bronte Street,1,2,1077,1045000,Bernal Heights,6
Address: 1819 26th Avenue,1,2,1175,1000000,Central Sunset,5
Address: 2421 Franklin Street,4,4,2096,2400000,Pacific Heights,8
Address: 2865 Vallejo Street,2,3,2230,7450000,Pacific Heights,9
Address: 1455 Oakdale Avenue,3,5,1594,935000,Bayview,8
Address: 1920 Jones Street,2,3,1675,1950000,Russian Hill,6
Address: 231 Clinton Park,1,2,1440,1380000,Mission,5
Address: 721 Delano Avenue,1,1,1210,700000,Outer Mission,5
Address: 324 Chicago Way,1,3,1465,990000,Crocker Amazon,7
Address: 2470 Broadway Street,5,5,3851,6500000,Pacific Heights,13
Address: 528 34th Avenue,6,8,4158,2240000,Outer Richmond,15
Address: 2425 Lincoln Way,1,2,1500,1265000,Central Sunset,6
Address: 2828 Divisadero Street,5.5,5,5590,8400000,Cow Hollow,11
Address: 2130 Quesada Avenue,2,4,995,680000,Silver Terrace,5
Address: 59 Manor Drive,1.5,3,1575,1250000,Mount Davidson Manor,7
Address: 22 Liberty Street,1,3,1379,1389000,Mission,6
Address: 601 Capitol Avenue,2,4,2008,800000,Oceanview,7
Address: 1621 McAllister Street,2,7,3974,2400000,North Panhandle,12
Address: 554 46th Avenue,1,2,830,665000,Outer Richmond,5
Address: 12 Las Villas Court,3,3,1480,570000,Bayview,7
Address: 620 29th Street,2,5,1365,1050000,Noe Valley,9
Address: 383 Missouri Street,1,2,1625,1310000,Potrero Hill,6
Address: 1250 Clay Street #306,1,1,541,695000,Nob Hill,3
Address: 1177 California Street #1212,1,1,1056,1200000,Downtown,3
Address: 1200 Gough Street #16D,1,1,900,825000,Van Ness - Civic Center,4
Address: 39 Bradford Street,1,2,775,1250000,Bernal Heights,4
Address: 111 Harold Avenue,1,2,1087,720000,Ingleside,4
Address: 86 Restani Way,3.5,3,2781,1054000,Outer Mission,8
Address: 355 1st Street #1702,2,2,1166,1570000,South Beach,4
Address: 88 King Street #103,3,3,1466,1370000,South Beach,6
Address: 81 Frank Norris Street #504,1,1,800,718000,Downtown,4
Address: 72 Crescent Avenue,3,4,3000,1625000,Bernal Heights,7
Address: 1316 Guerrero Street,5,6,4000,1706000,Mission,14
Address: 3532 23rd Street,1,2,1375,1900000,Mission,10
Address: 1406 Golden Gate Avenue,3,3,1628,1200000,Western Addition,6
Address: 1833 Laguna Street,4.5,5,4400,5500000,Lower Pacific Heights,9
Address: 1576 Waller Street,1,3,1668,1495000,Haight-Ashbury,8
Address: 1558 45th Avenue,2,2,1370,930000,Outer Sunset,8
Address: 2165 Revere Avenue,1.5,3,1125,1040000,Silver Terrace,5
Address: 95 Red Rock Way #303M,1,0,592,530000,Diamond Heights,2
Address: 270 Bright Street,1,2,1010,750000,Ingleside Heights,4
Address: 1097 Howard Street #303,1,1,1056,975000,South of Market,2
Address: 260 King Street #605,2,2,1488,1475000,South of Market,4
Address: 930 Ashbury Street,4,4,2510,2278000,Parnassus - Ashbury,10
Address: 133 Richardson Avenue,3,3,2323,2080000,Cow Hollow,6
Address: 3315 Pierce Street,3.5,3,2255,2500000,Marina,7
Address: 601 Van Ness Avenue #201,1,1,750,555000,Van Ness - Civic Center,3
Address: 260 King Street #1009,1,1,823,750000,South of Market,3
Address: 728 Alabama Street #105,1,1,642,655000,Mission,3
Address: 50 Roscoe Street,2,4,2150,1735000,Bernal Heights,10
Address: 14 Stoneyford Avenue,1,3,1158,650000,Excelsior,6
Address: 324 Hanover Street,1,2,1325,700000,Crocker Amazon,5
Address: 1760 Ofarrell Street #18,2,2,1061,838000,Western Addition,5
Address: 811 40th Avenue,1,2,1095,880000,Outer Richmond,5
Address: 938 Market Street,1,1,693,310000,Downtown,4
Address: 632 Mississippi Street,1,2,1100,1420000,Potrero Hill,5
Address: 7 Lee Avenue,3,2,1370,1100000,Ingleside,4
Address: 2223 44th Avenue,2,3,1747,1325000,Outer Parkside,9
Address: 1626 32nd Avenue,3,4,2100,1425000,Central Sunset,9
Address: 1387 14th Avenue,2,4,1926,1655000,Inner Sunset,8
Address: 1765 15th Avenue,3.5,5,3114,2250000,Golden Gate Heights,8
Address: 1243 Quesada Avenue,1,2,1250,610000,Bayview,7
Address: 423 28th Street #201,2,3,1875,1589000,Noe Valley,7
Address: 8200 Oceanview Terrace #204,1,1,688,510000,Ingleside Heights,3
Address: 851 South Van Ness Avenue #104,2,2,1227,641000,Van Ness - Civic Center,3
Address: 54 Marston Avenue,5,5,2500,1650000,Sunnyside,7
Address: 2151 Laguna Street #2,2,3,2624,4500000,Pacific Heights,7
Address: 28 Williams Avenue,2,2,1250,660000,Bayview,5
Address: 304 Gold Mine Drive,3,5,2504,1651000,Diamond Heights,7
Address: 180 7th Street #408,1,1,470,550000,South of Market,3
Address: 961 San Bruno Avenue,2,2,1297,980000,Mission,6
Address: 591 27th Avenue,1,2,900,897000,Central Richmond,4
Address: 520 El Camino Del Mar,5.5,6,4840,6100000,Sea Cliff,12
Address: 19 Bridgeview Drive,2,3,1092,640000,Silver Terrace,5
Address: 446 Chenery Street,1,1,977,1064000,Glen Park,5
Address: 114 Clearfield Drive,2,3,1790,1350000,Lakeshore,7
Address: 1070 Green Street #1402,2.5,3,2017,2600000,Russian Hill,6
Address: 1 Crescent Way #1402,2,2,1063,660000,Bayview,5
Address: 181 Ofarrell Street #514,1.5,1,1080,978000,Downtown,5
Address: 355 1st Street #1503,1,1,795,1124500,South Beach,3
Address: 355 1st Street #1602,2,2,1239,1500000,South Beach,4
Address: 2250 24th Street #319,1,2,809,675000,Potrero Hill,4
Address: 638 19th Street #10,2.5,3,1467,1525000,Central Waterfront - Dogpatch,5
Address: 270 Nevada Street,4,3,2371,2075000,Bernal Heights,6
Address: 1988 Alemany Boulevard,1,3,1466,860000,Mission Terrace,7
Address: 445 Persia Avenue,1,3,1435,950000,Excelsior,6
Address: 1145 Cayuga Avenue,1,3,1590,1050000,Mission Terrace,6
Address: 95 Red Rock Way #202M,1,1,830,670000,Diamond Heights,3
Address: 159 Glenview Drive,1,2,833,760000,Midtown Terrace,4
Address: 1915 Diamond Street,3,4,2400,1800000,Glen Park,6
Address: 201 Harrison Street #407,1,0,410,525000,South Beach,1
Address: 81 Lansing Street #410,1,1,855,778000,South Beach,4
Address: 1177 California Street #423,1,0,706,738000,Downtown,2
Address: 2311 Scott Street #1,2,3,1986,2720000,Pacific Heights,7
Address: 430 Mangels Avenue,1,2,1200,1100000,Sunnyside,5
Address: 179 Flood Avenue,4,4,1900,1538000,Sunnyside,8
Address: 151 Everglade Drive,3,3,1858,1400000,Lakeshore,8
Address: 1101 Pacific Avenue #302,2,2,1009,1000000,Nob Hill,4
Address: 1015 Goettingen Street,2,3,1900,880000,Visitacion Valley,8
Address: 400 Beale Street #2506,2,2,1215,1198000,South Beach,5
Address: 178 Jules Avenue,1,3,1350,821500,Ingleside,6
Address: 2801 Jackson Street #12,1,2,1330,1418000,Pacific Heights,5
Address: 1442 Grove Street #A,1,1,593,675000,North Panhandle,4
Address: 1667 34th Avenue,1,2,1350,1050000,Central Sunset,5
Address: 382 Surrey Street,2.5,3,1625,1900000,Glen Park,6
Address: 338 Spear Street #4C,1,1,799,949000,South Beach,4
Address: 219 Brannan Street #1B,2,2,900,1098000,South Beach,4
Address: 1562 22nd Street,2,3,2542,1665000,Potrero Hill,6
Address: 1268 Lombard Street #2,2,3,1860,3195000,Russian Hill,5
Address: 977 Guerrero Street,1,2,1440,2000000,Mission,6
Address: 2670 San Jose Avenue,1,3,1001,756000,Oceanview,4
Address: 2 Northwood Drive,2,3,1960,1800000,Westwood Park,6
Address: 83 Seward Street,2,3,2650,2100000,Eureka Valley - Dolores Heights - Castro,8
Address: 1059 Noe Street,2.5,3,2545,2495000,Noe Valley,8
Address: 1310 Scott Street #40,2,3,1270,958000,Western Addition,6
Address: 2287 43rd Avenue,2,3,1331,968000,Outer Parkside,5
Address: 2195 28th Avenue,3,4,2260,1350000,Parkside,9
Address: 2920 Anza Street,2,4,2102,310000,Central Richmond,11
Address: 78 22nd Avenue,4.5,4,4017,4300000,Lake,11
Address: 1727 29th Avenue,3.5,4,2580,1880000,Central Sunset,8
Address: 1459 Thomas Avenue,3,6,1950,655000,Bayview,9
Address: 646 Los Palmos Drive,3,5,2956,1360000,Westwood Highlands,8
Address: 1231 Bosworth Street,1,1,600,899000,Glen Park,4
Address: 567 27th Street #3,2,3,1600,1400000,Noe Valley,5
Address: 74 Newburg Street,2,4,1625,2250000,Noe Valley,10
Address: 1381 Sanchez Street,3,4,2000,2600000,Noe Valley,7
Address: 425 1st Street #802,2,2,1309,1340000,South Beach,4
Address: 4647 25th Street,2.5,3,2041,1450000,Noe Valley,7
Address: 350 Eureka Street,2,4,1720,2400000,Eureka Valley - Dolores Heights - Castro,7
Address: 3100 Washington Street #6,1,1,808,825000,Pacific Heights,3
Address: 1880 Steiner Street #101,3,2,1332,1350000,Lower Pacific Heights,5
Address: 3016 Sacramento Street,1.5,2,1408,1853000,Pacific Heights,5
Address: 2007 46th Avenue,2,3,1300,905000,Outer Parkside,6
Address: 2555 28th Avenue,2,4,1360,1010000,Parkside,7
Address: 790 7th Avenue #104,1,2,560,600000,Inner Richmond,4
Address: 2845 Noriega Street,2.5,3,2180,1230000,Central Sunset,6
Address: 3835 Scott Street #105,1,1,1118,1125000,Marina,4
Address: 6 Longview Court,1,2,939,955000,Midtown Terrace,4
Address: 232 Bemis Street,1,2,1000,1085000,Glen Park,5
Address: 87 Clearfield Drive,2,3,1386,1360000,Lakeshore,6
Address: 23 Rodgers Street,1,1,538,625000,South of Market,3
Address: 38 Bryant Street #606,1,1,582,650000,South Beach,2
Address: 66 Cleary Court #1408,2,2,1106,895000,Western Addition,5
Address: 130 Vienna Street,3,4,1853,950000,Excelsior,6
Address: 1858 47th Avenue,2,3,1135,895000,Outer Sunset,5
Address: 59 Rico Way,1.5,3,1675,2550000,Marina,6
Address: 3001 Castro Street,3,4,2755,1695000,Glen Park,8
Address: 601 Van Ness Avenue #78,2,2,952,810000,Van Ness - Civic Center,5
Address: 270 Valencia Street #503,1,2,747,890000,Mission,3
Address: 1177 California Street #702,1,1,511,665000,Downtown,2
Address: 1438 Green Street #5A,2,2,1206,1278000,Russian Hill,4
Address: 1080 Sutter Street #1001,2,3,1273,1450000,Downtown,4
Address: 249 Mullen Avenue,2,2,1275,1025000,Bernal Heights,5
Address: 1049 Dolores Street #4,1,2,904,1266000,Mission,3
Address: 221 Flood Avenue,6,9,5000,1405000,Sunnyside,7
Address: 533 Elizabeth Street,3,4,1744,1880000,Noe Valley,7
Address: 419 Hill Street,2,3,2000,2500000,Eureka Valley - Dolores Heights - Castro,7
Address: 2559 44th Avenue,1,2,1214,625000,Outer Parkside,5
Address: 2178 22nd Avenue,3,3,1518,1438000,Parkside,6
Address: 801 42nd Avenue,3,3,2730,1460000,Outer Richmond,8
Address: 1700 14th Avenue,3,3,1756,760000,Golden Gate Heights,7
Address: 1343 31st Avenue,2,3,1886,1250000,Central Sunset,6
Address: 2601 Lawton Street,1,3,1450,1250000,Central Sunset,6
Address: 1440 La Playa Street,2,3,1313,1303500,Outer Sunset,6
Address: 2953 Broderick Street,2.5,2,1876,3000000,Cow Hollow,6
Address: 27 Gaviota Way,3,3,2155,1750000,Miraloma Park,5
Address: 5 Red Rock Way #75,2,3,1310,900000,Diamond Heights,6
Address: 227 Delta Street,1,3,825,642000,Visitacion Valley,4
Address: 156 Mary Teresa Street,2,2,1207,800000,Little Hollywood,4
Address: 131 Brussels Street,3,4,2269,1255000,Portola,6
Address: 557 Birch Street,3,3,1635,1575000,Hayes Valley,10
Address: 643 Natoma Street,1,2,887,725000,South of Market,5
Address: 281 Clinton Park,1,3,1532,1300000,Mission,6
Address: 765 Market Street #31H,3,2,1434,2800000,Yerba Buena,5
Address: 188 Minna Street #28B,2.5,2,1740,2850000,Yerba Buena,5
Address: 540 Texas Street,4,2,1700,2162500,Potrero Hill,5
Address: 437 London Street,1,2,900,760000,Excelsior,6
Address: 528 Miramar Avenue,1,2,1328,918000,Westwood Park,5
Address: 1326 Lyon Street,1.5,2,1300,945000,Lower Pacific Heights,5
Address: 1480 Golden Gate Avenue,2.5,4,2151,1809000,Western Addition,8
Address: 2076 14th Avenue,1,2,1374,1280000,Golden Gate Heights,6
Address: 539 44th Avenue,1,2,1290,998500,Outer Richmond,6
Address: 1555 21st Avenue,2,2,1204,1100000,Central Sunset,5
Address: 1383 29th Avenue,2,4,1475,1175000,Central Sunset,7
Address: 1783 Newcomb Avenue,1,2,1385,680000,Bayview,6
Address: 1401 Shafter Avenue,2,2,1412,755000,Bayview,5
Address: 142 Russ Street #5,2,2,2198,1475000,South of Market,4
Address: 6 Mint Plaza #702A,3,3,1670,2550000,South of Market,6
Address: 2080 3rd Street #8,2,1,998,875000,Central Waterfront - Dogpatch,3
Address: 555 4th Street #513,2,2,1177,1180000,South of Market,5
Address: 650 Delancey Street #203,2,2,1619,2175000,South Beach,3
Address: 1945 Washington Street #411,1,1,653,665000,Pacific Heights,3
Address: 1143 Naples Street,3,5,3034,950000,Crocker Amazon,9
Address: 130 Shakespeare Street,14,7,1308,1000000,Outer Mission,7
Address: 559 21st Avenue,1,2,1400,1250000,Central Richmond,5
Address: 1706 12th Avenue,2,4,1861,1500000,Inner Sunset,8
Address: 71 Los Palmos Drive,1.5,3,1278,1080000,Miraloma Park,6
Address: 344 Moncada Way,1,2,1778,1415000,Ingleside Terrace,6
Address: 15 Santa Clara Avenue,2,5,2515,2000000,St. Francis Wood,7
Address: 2576 Diamond Street,2,2,878,1265000,Glen Park,5
Address: 163 Monterey Boulevard,2,3,1476,1281000,Sunnyside,5
Address: 455 Vallejo Street #111,1,1,825,875000,Telegraph Hill,3
Address: 333 1st Street #2103,1,1,713,1029000,South Beach,3
Address: 260 King Street #421,1,1,695,731000,South of Market,3
Address: 1177 California Street #501,1,1,884,900000,Downtown,3
Address: 1896 Pacific Avenue #802,2.5,2,2272,2735000,Pacific Heights,6
Address: 1250 Jones Street #802,1,1,1115,1680000,Nob Hill,5
Address: 1807 Jones Street,2,2,1467,1700000,Russian Hill,5
Address: 1248 Utah Street,4,4,2770,2500000,Mission,8
Address: 2294 42nd Avenue,2,3,1650,1060000,Outer Parkside,7
Address: 2771 38th Avenue,2,3,1655,1175000,Outer Parkside,7
Address: 544 Waller Street #1,3,3,1312,1900000,Hayes Valley,5
Address: 699 36th Avenue #408,3,3,1639,925000,Outer Richmond,7
Address: 16 Miraloma Drive,4,6,4883,2700000,St. Francis Wood,11
Address: 155 Arbor Street,1,3,1550,1080000,Glen Park,6
Address: 2212 Castro Street,4,4,4017,3595000,Noe Valley,10
Address: 1821 Grant Avenue #101,1,1,1048,835000,Telegraph Hill,2
Address: 1132 Goettingen Street,2.5,4,1586,850000,Visitacion Valley,6
Address: 130 Langton Street #A,1.5,2,1000,750000,South of Market,3
Address: 760 Treat Avenue #1,2,3,1275,1530000,Mission,5
Address: 720 Clipper Street,4,5,3202,1500000,Noe Valley,11
Address: 2820 Jackson Street,3.5,5,3212,4000000,Pacific Heights,12
Address: 1327 Cabrillo Street,1,3,1755,1285000,Central Richmond,6
Address: 783 La Playa Street #2,1,1,667,535000,Outer Richmond,3
Address: 1526 45th Avenue,2,2,1400,925000,Outer Sunset,8
Address: 469 Clementina Street #12,1,1,600,650000,South of Market,3
Address: 9 Lafayette Street #3,2,2,1215,975000,South of Market,4
Address: 355 1st Street #S909,2,2,995,1249000,South Beach,4
Address: 1324 20th Street,1,2,1000,1317500,Potrero Hill,5
Address: 1521 Sutter Street #304,2,2,1098,1095000,Lower Pacific Heights,4
Address: 2828 Polk Street,2,2,1325,1650000,Russian Hill,5
Address: 55 Alvarado Street,1,2,994,1220000,Mission,4
Address: 1088 Huron Avenue #1,1,1,596,486000,Outer Mission,4
Address: 4021 Mission Street,1,2,1416,1052000,Bernal Heights,6
Address: 154 Westwood Drive,2,3,1200,1108000,Westwood Park,5
Address: 38 Levant Street,1.5,2,1090,1593000,Corona Heights,5
Address: 2215 California Street,6,5,3485,5050000,Lower Pacific Heights,7
Address: 2343 30th Avenue,1,2,1340,981500,Parkside,5
Address: 349 Frederick Street,2.5,3,2084,1525000,Haight-Ashbury,6
Address: 1554 Masonic Avenue,2,3,1540,1860000,Buena Vista Park,6
Address: 3316 California Street #3,3,4,1779,1865000,Presidio Heights,11
Address: 199 Chestnut Street #5,1,1,1060,1499000,Telegraph Hill,4
Address: 601 Van Ness Avenue #944,1,1,894,600000,Van Ness - Civic Center,3
Address: 175 Russ Street #14,2.5,2,1361,1185000,South of Market,5
Address: 1452 Bush Street #1,2.5,2,1176,1080000,Van Ness - Civic Center,4
Address: 400 Alemany Boulevard #15,2,2,1048,700000,Bernal Heights,5
Address: 450 Prentiss Street,1,2,1070,999000,Bernal Heights,5
Address: 648 South Van Ness Avenue,1,2,4275,1490000,Mission,16
Address: 430 Fair Oaks Street,3,4,2678,2290000,Mission,8
Address: 29 Dorland Street,3.5,4,3455,4800000,Mission,7
